Normalized_Title,Game_Title,Rating,Plays,Playing,Wishlist,Global_Sales,Engagement_Sales_Anomaly
call of duty 3,Call of Duty 3,2.8,2900.0,8.0,122.0,7.56,Normal
call of duty advanced warfare,Call of Duty: Advanced Warfare,2.5,5200.0,13.0,151.0,21.9,Normal
call of duty black ops,Call of Duty: Black Ops,3.7,14000.0,44.0,318.0,31.03,Normal
call of duty black ops ii,Call of Duty: Black Ops II,3.8,13000.0,57.0,286.0,29.72,Normal
call of duty ghosts,Call of Duty: Ghosts,2.4,6500.0,9.0,150.0,27.38,Normal
call of duty modern warfare 2,Call of Duty: Modern Warfare 2,3.8,14000.0,34.0,276.0,25.09,Normal
call of duty modern warfare 3,Call of Duty: Modern Warfare 3,3.2,10000.0,27.0,195.0,30.830000000000002,Normal
castlevania,Castlevania,3.4,5700.0,58.0,365.0,1.87,Normal
castlevania aria of sorrow,Castlevania: Aria of Sorrow,4.2,5100.0,114.0,871.0,0.28,Normal
castlevania bloodlines,Castlevania: Bloodlines,3.7,1800.0,25.0,230.0,0.04,Normal
castlevania circle of the moon,Castlevania: Circle of the Moon,3.0,2100.0,62.0,272.0,0.89,Normal
castlevania harmony of dissonance,Castlevania: Harmony of Dissonance,3.2,2000.0,51.0,288.0,0.26,Normal
castlevania order of ecclesia,Castlevania: Order of Ecclesia,4.0,2000.0,75.0,540.0,0.41,Normal
castlevania symphony of the night,Castlevania: Symphony of the Night,4.4,9100.0,316.0,1700.0,1.27,Normal
chrono cross,Chrono Cross,4.0,1700.0,60.0,768.0,1.86,Normal
chrono trigger,Chrono Trigger,4.466666666666667,9100.0,518.0,2200.0,3.7800000000000002,Normal
condemned criminal origins,Condemned: Criminal Origins,3.5,1300.0,32.0,270.0,0.42,Normal
crash bandicoot,Crash Bandicoot,3.5,8700.0,58.0,288.0,6.82,Normal
crash nitro kart,Crash Nitro Kart,3.1,1700.0,4.0,52.0,2.98,Normal
crash of the titans,Crash of the Titans,3.0,3800.0,18.0,122.0,2.32,Normal
crash team racing,Crash Team Racing,4.0,4800.0,18.0,165.0,4.79,Normal
crazy taxi,Crazy Taxi,3.6,4800.0,19.0,227.0,4.82,Normal
crysis,Crysis,3.2,3000.0,26.0,241.0,0.72,Normal
crysis 2,Crysis 2,3.1,2900.0,10.0,155.0,3.39,Normal
danganronpa 2 goodbye despair,Danganronpa 2: Goodbye Despair,3.9,9900.0,288.0,605.0,0.45,High Engagement - Low Sales
danganronpa another episode ultra despair girls,Danganronpa Another Episode: Ultra Despair Girls,2.7,3400.0,92.0,355.0,0.28,Normal
danganronpa trigger happy havoc,Danganronpa: Trigger Happy Havoc,3.5,12000.0,311.0,716.0,0.6499999999999999,High Engagement - Low Sales
dark souls,Dark Souls,4.3,14000.0,447.0,1400.0,3.1399999999999997,Normal
dark souls ii,Dark Souls II,3.3,6700.0,128.0,834.0,3.07,Normal
dark souls iii,Dark Souls III,4.2,19000.0,851.0,2200.0,1.96,Normal
dead space,Dead Space,4.18,9600.0,302.0,1900.0,4.03,Normal
dead space 2,Dead Space 2,4.0,6000.0,97.0,716.0,3.29,Normal
dead space 3,Dead Space 3,2.6,3200.0,48.0,388.0,2.19,Normal
deadly premonition,Deadly Premonition,3.9,1400.0,48.0,628.0,0.42000000000000004,Normal
destroy all humans,Destroy All Humans!,3.2,2200.0,16.0,188.0,1.4,Normal
deus ex,Deus Ex,4.4,3800.0,189.0,958.0,0.01,Normal
deus ex human revolution,Deus Ex: Human Revolution,3.8,5800.0,65.0,488.0,3.4899999999999998,Normal
deus ex mankind divided,Deus Ex: Mankind Divided,3.5,3400.0,72.0,458.0,0.5,Normal
devil may cry,Devil May Cry,3.5,10000.0,286.0,1100.0,2.99,Normal
devil may cry 2,Devil May Cry 2,1.6,6400.0,56.0,517.0,1.97,Normal
devil may cry 4,Devil May Cry 4,3.6,6500.0,84.0,681.0,3.0700000000000003,Normal
devil may cry hd collection,Devil May Cry HD Collection,3.9,2200.0,152.0,371.0,1.28,Normal
digimon world next order,Digimon World: Next Order,3.1,321.0,40.0,133.0,0.09,Normal
dishonored,Dishonored,3.9,14000.0,268.0,866.0,4.3,Normal
dmc devil may cry,DmC: Devil May Cry,3.0,6300.0,62.0,448.0,1.69,Normal
donkey kong country,Donkey Kong Country,3.9,11000.0,186.0,514.0,13.530000000000001,Normal
donkey kong country returns,Donkey Kong Country Returns,3.9,5300.0,67.0,443.0,8.46,Normal
donkey kong country tropical freeze,Donkey Kong Country: Tropical Freeze,4.2,2100.0,91.0,500.0,1.52,Normal
doom,Doom,3.9857142857142853,18000.0,541.0,1400.0,0.9500000000000001,Normal
dragon age origins,Dragon Age: Origins,4.0,6100.0,148.0,534.0,4.77,Normal
dragon age origins awakening,Dragon Age: Origins - Awakening,3.9,1000.0,14.0,54.0,0.87,Normal
dragon ball gt final bout,Dragon Ball GT: Final Bout,1.8,1200.0,2.0,23.0,0.27,Normal
dragon ball xenoverse,Dragon Ball: Xenoverse,2.9,3700.0,23.0,71.0,2.18,Normal
dragon ball z budokai tenkaichi,Dragon Ball Z: Budokai Tenkaichi,2.9,1700.0,2.0,29.0,1.66,Normal
dragon ball z budokai tenkaichi 3,Dragon Ball Z: Budokai Tenkaichi 3,3.9,6600.0,32.0,135.0,4.04,Normal
dragon quest v hand of the heavenly bride,Dragon Quest V: Hand of the Heavenly Bride,4.2,1400.0,85.0,478.0,1.6,Normal
drakengard 3,Drakengard 3,3.8,1900.0,128.0,946.0,0.3,Normal
earthbound,EarthBound,4.2,9000.0,600.0,1800.0,0.81,Normal
fable ii,Fable II,3.6,3200.0,22.0,271.0,4.31,Normal
fallout 3,Fallout 3,3.4,12000.0,162.0,589.0,9.959999999999999,Normal
fallout 4,Fallout 4,3.1,16000.0,407.0,752.0,12.28,Normal
fallout new vegas,Fallout: New Vegas,4.3,16000.0,756.0,1400.0,8.41,Normal
far cry 3,Far Cry 3,3.7,14000.0,188.0,660.0,7.470000000000001,Normal
far cry 4,Far Cry 4,3.2,8500.0,90.0,442.0,8.68,Normal
fatal frame ii crimson butterfly,Fatal Frame II: Crimson Butterfly,4.2,1000.0,38.0,513.0,0.16,Normal
fifa 14,FIFA 14,3.2,2200.0,8.0,13.0,17.14,Normal
final fantasy i ii dawn of souls,Final Fantasy I & II: Dawn of Souls,3.4,1100.0,26.0,63.0,1.19,Normal
final fantasy iii,Final Fantasy III,3.1,2600.0,59.0,290.0,7.05,Normal
final fantasy iv,Final Fantasy IV,3.7,2700.0,60.0,379.0,1.57,Normal
final fantasy ix,Final Fantasy IX,4.3,6800.0,350.0,1200.0,5.3,Normal
final fantasy tactics,Final Fantasy Tactics,4.2,2100.0,73.0,681.0,2.45,Normal
final fantasy v,Final Fantasy V,3.8,2300.0,78.0,460.0,2.62,Normal
final fantasy vi,Final Fantasy VI,4.4,6100.0,312.0,1300.0,0.08,Normal
final fantasy vii,Final Fantasy VII,4.2,15000.0,1100.0,1500.0,9.72,Normal
final fantasy viii,Final Fantasy VIII,3.6,5100.0,182.0,715.0,7.86,Normal
final fantasy x,Final Fantasy X,4.1,8500.0,330.0,990.0,8.05,Normal
fire emblem awakening,Fire Emblem: Awakening,3.8,9500.0,287.0,814.0,2.0,Normal
fire emblem path of radiance,Fire Emblem: Path of Radiance,4.2,2900.0,155.0,716.0,0.54,Normal
fire emblem radiant dawn,Fire Emblem: Radiant Dawn,4.0,1800.0,69.0,497.0,0.51,Normal
fire emblem shadow dragon,Fire Emblem: Shadow Dragon,3.2,1900.0,78.0,235.0,0.65,Normal
fire emblem the sacred stones,Fire Emblem: The Sacred Stones,3.7,3700.0,124.0,395.0,0.89,Normal
fire emblem thracia 776,Fire Emblem: Thracia 776,4.1,820.0,65.0,329.0,0.26,Normal
flower sun and rain,"Flower, Sun, and Rain",4.3,632.0,32.0,1100.0,0.07,Normal
gears of war,Gears of War,3.5,5300.0,37.0,307.0,6.13,Normal
gears of war 2,Gears of War 2,3.7,4600.0,31.0,225.0,6.76,Normal
ghost trick phantom detective,Ghost Trick: Phantom Detective,4.4,3600.0,149.0,1200.0,0.42,Normal
goat simulator,Goat Simulator,2.4,8400.0,22.0,125.0,0.01,Normal
god of war,God of War,4.05,21000.0,1100.0,2600.0,4.45,Normal
god of war ascension,God of War: Ascension,2.9,2700.0,27.0,351.0,2.29,Normal
god of war chains of olympus,God of War: Chains of Olympus,3.2,4000.0,31.0,300.0,3.19,Normal
god of war ii,God of War II,4.0,9300.0,89.0,687.0,4.07,Normal
goldeneye 007,GoldenEye 007,3.6,4500.0,60.0,334.0,8.09,Normal
grand theft auto,Grand Theft Auto,2.5,1600.0,4.0,109.0,2.5599999999999996,Normal
grand theft auto iii,Grand Theft Auto III,3.3,7800.0,88.0,373.0,13.11,Normal
grand theft auto iv,Grand Theft Auto IV,3.8,14000.0,258.0,721.0,22.47,Normal
grand theft auto san andreas,Grand Theft Auto: San Andreas,4.1,19000.0,270.0,742.0,23.86,Normal
grand theft auto v,Grand Theft Auto V,3.7999999999999994,30000.0,829.0,664.0,55.92,Normal
grand theft auto vice city,Grand Theft Auto: Vice City,3.8,12000.0,125.0,526.0,16.189999999999998,Normal
guitar hero 5,Guitar Hero 5,3.2,1100.0,0.0,22.0,4.94,Normal
guitar hero iii legends of rock,Guitar Hero III: Legends of Rock,3.9,6900.0,21.0,78.0,16.400000000000002,Normal
gun,Gun,3.3,1400.0,5.0,152.0,2.14,Normal
halo 3,Halo 3,4.2,12000.0,101.0,528.0,12.14,Normal
halo 4,Halo 4,3.0,7600.0,57.0,277.0,9.76,Normal
halo 5 guardians,Halo 5: Guardians,2.5,3500.0,31.0,257.0,4.26,Normal
halo reach,Halo: Reach,4.0,11000.0,98.0,370.0,9.88,Normal
halo the master chief collection,Halo: The Master Chief Collection,4.2,5100.0,362.0,463.0,3.15,Normal
haunting ground,Haunting Ground,3.8,597.0,29.0,572.0,0.07,Normal
hitman blood money,Hitman: Blood Money,4.0,3200.0,37.0,238.0,1.08,Normal
hotel dusk room 215,Hotel Dusk: Room 215,4.0,1600.0,87.0,838.0,0.56,Normal
ico,Ico,4.0,3500.0,83.0,1200.0,0.53,Normal
ikaruga,Ikaruga,4.0,1300.0,37.0,424.0,0.09,Normal
infamous 2,Infamous 2,3.7,4400.0,21.0,343.0,1.85,Normal
infamous second son,Infamous: Second Son,3.4,7600.0,71.0,574.0,2.78,Normal
injustice gods among us,Injustice: Gods Among Us,3.0,7100.0,17.0,112.0,3.87,Normal
journey,Journey,3.9,12000.0,94.0,1700.0,0.25,High Engagement - Low Sales
just cause 2,Just Cause 2,3.2,5100.0,36.0,142.0,3.5300000000000002,Normal
just cause 3,Just Cause 3,3.1,4900.0,93.0,155.0,2.85,Normal
katamari damacy,Katamari Damacy,4.2,4100.0,60.0,761.0,0.73,Normal
kid icarus uprising,Kid Icarus: Uprising,4.1,5400.0,140.0,924.0,1.28,Normal
killer7,Killer7,4.3,2800.0,237.0,1300.0,0.24,Normal
killzone 3,Killzone 3,3.1,1300.0,6.0,91.0,2.79,Normal
kingdom hearts,Kingdom Hearts,3.6,12000.0,266.0,1000.0,8.15,Normal
kingdom hearts ii,Kingdom Hearts II,4.3,9600.0,137.0,652.0,5.65,Normal
kingdoms of amalur reckoning,Kingdoms of Amalur: Reckoning,3.2,1200.0,22.0,106.0,2.07,Normal
kirby planet robobot,Kirby: Planet Robobot,4.2,3600.0,82.0,644.0,0.85,Normal
kirby super star ultra,Kirby Super Star Ultra,4.3,5800.0,47.0,427.0,2.96,Normal
klonoa door to phantomile,Klonoa: Door to Phantomile,4.1,2200.0,63.0,590.0,0.18,Normal
left 4 dead,Left 4 Dead,3.6,8600.0,35.0,213.0,3.54,Normal
left 4 dead 2,Left 4 Dead 2,3.9,19000.0,279.0,358.0,4.36,Normal
legacy of kain soul reaver,Legacy of Kain: Soul Reaver,3.7,1300.0,22.0,328.0,1.04,Normal
lego batman 2 dc super heroes,LEGO Batman 2: DC Super Heroes,3.5,4600.0,41.0,132.0,6.37,Normal
lego batman 3 beyond gotham,LEGO Batman 3: Beyond Gotham,3.1,2900.0,37.0,113.0,4.58,Normal
lego marvel super heroes,LEGO Marvel Super Heroes,3.6,6000.0,65.0,126.0,9.86,Normal
life is strange,Life is Strange,3.4,15000.0,209.0,817.0,0.52,High Engagement - Low Sales
lightning returns final fantasy xiii,Lightning Returns: Final Fantasy XIII,3.1,1500.0,44.0,426.0,1.3900000000000001,Normal
littlebigplanet,LittleBigPlanet,3.6,6000.0,21.0,219.0,8.5,Normal
live a live,Live A Live,4.125,1100.0,235.0,1900.0,0.32,Normal
lollipop chainsaw,Lollipop Chainsaw,3.4,1600.0,32.0,695.0,1.1600000000000001,Normal
machinarium,Machinarium,3.7,1600.0,18.0,242.0,0.11,Normal
madworld,MadWorld,3.5,1100.0,19.0,441.0,0.8,Normal
mario kart 64,Mario Kart 64,3.5,9700.0,21.0,194.0,9.87,Normal
mario kart 7,Mario Kart 7,3.5,10000.0,59.0,141.0,12.21,Normal
mario kart 8,Mario Kart 8,3.9,9300.0,40.0,121.0,6.96,Normal
