Normalized_Title,Game_Title,Rating,Plays,Playing,Wishlist,Global_Sales,Engagement_Sales_Anomaly
odin sphere leifthrasir,Odin Sphere: Leifthrasir,4.1,895.0,71.0,349.0,0.39,Normal
overwatch,Overwatch,3.2,19000.0,436.0,214.0,3.01,Normal
parasite eve ii,Parasite Eve II,3.4,763.0,16.0,344.0,0.58,Normal
persona 2 eternal punishment,Persona 2: Eternal Punishment,4.1,1600.0,107.0,993.0,0.39999999999999997,Normal
persona 4 arena,Persona 4 Arena,3.4,1900.0,22.0,171.0,0.87,Normal
persona 4 arena ultimax,Persona 4 Arena Ultimax,3.7,2900.0,135.0,604.0,0.22000000000000003,Normal
persona 4 golden,Persona 4 Golden,4.25,13000.0,1500.0,2200.0,1.38,Normal
persona 5,Persona 5,4.1,16000.0,630.0,1700.0,0.44000000000000006,High Engagement - Low Sales
phoenix wright ace attorney,Phoenix Wright: Ace Attorney,4.1,12000.0,418.0,1000.0,0.99,Normal
phoenix wright ace attorney dual destinies,Phoenix Wright: Ace Attorney - Dual Destinies,3.4,3300.0,105.0,497.0,0.38,Normal
phoenix wright ace attorney trials and tribulations,Phoenix Wright: Ace Attorney - Trials and Tribulations,4.4,6600.0,172.0,623.0,0.67,Normal
phoenix wright ace attorney trilogy,Phoenix Wright: Ace Attorney Trilogy,4.3,4000.0,644.0,779.0,0.02,Normal
pikmin 2,Pikmin 2,4.1,2700.0,53.0,500.0,1.2,Normal
pikmin 3,Pikmin 3,4.0,2700.0,39.0,385.0,1.11,Normal
planescape torment,Planescape: Torment,4.3,1100.0,74.0,518.0,0.04,Normal
plants vs zombies,Plants vs. Zombies,3.7,14000.0,117.0,82.0,1.68,Normal
portal 2,Portal 2,4.4,29000.0,471.0,1200.0,4.6,Normal
prince of persia,Prince of Persia,3.0,2500.0,23.0,206.0,2.09,Normal
prince of persia the sands of time,Prince of Persia: The Sands of Time,3.6,5500.0,37.0,421.0,3.6300000000000003,Normal
prince of persia warrior within,Prince of Persia: Warrior Within,3.5,2800.0,20.0,220.0,2.64,Normal
professor layton and the curious village,Professor Layton and the Curious Village,3.7,4200.0,128.0,407.0,5.26,Normal
professor layton and the unwound future,Professor Layton and the Unwound Future,4.3,2400.0,33.0,388.0,3.36,Normal
professor layton vs phoenix wright ace attorney,Professor Layton vs. Phoenix Wright: Ace Attorney,3.6,1800.0,68.0,484.0,0.81,Normal
prototype,Prototype,3.0,4500.0,30.0,314.0,2.55,Normal
prototype 2,Prototype 2,3.0,2400.0,10.0,198.0,1.6500000000000001,Normal
psychonauts,Psychonauts,4.0,7100.0,388.0,1200.0,0.21,Normal
puyo puyo tetris,Puyo Puyo Tetris,3.8,3100.0,51.0,198.0,0.22,Normal
quake ii,Quake II,3.4,1500.0,18.0,162.0,0.71,Normal
ratchet clank size matters,Ratchet & Clank: Size Matters,2.8,1500.0,10.0,115.0,4.06,Normal
rayman legends,Rayman Legends,4.0,9800.0,177.0,643.0,3.3600000000000003,Normal
rayman origins,Rayman Origins,3.8,6200.0,85.0,417.0,3.22,Normal
rayman raving rabbids,Rayman Raving Rabbids,2.7,2700.0,9.0,63.0,1.8099999999999998,Normal
red dead redemption,Red Dead Redemption,4.2,13000.0,218.0,1600.0,12.94,Normal
remember me,Remember Me,2.9,1600.0,22.0,239.0,0.59,Normal
resident evil,Resident Evil,4.0,4000.0,93.0,470.0,5.34,Normal
resident evil 2,Resident Evil 2,4.26,15000.0,585.0,1900.0,6.44,Normal
resident evil 3 nemesis,Resident Evil 3: Nemesis,3.8,4300.0,56.0,496.0,3.8000000000000003,Normal
resident evil 4,Resident Evil 4,4.3,14000.0,360.0,1200.0,7.6,Normal
resident evil 5,Resident Evil 5,3.1,10000.0,176.0,561.0,8.69,Normal
resident evil 6,Resident Evil 6,2.5,7800.0,189.0,552.0,5.28,Normal
resident evil revelations,Resident Evil: Revelations,3.2,2900.0,55.0,297.0,2.19,Normal
resistance fall of man,Resistance: Fall of Man,3.0,1300.0,16.0,119.0,4.35,Normal
rock band 2,Rock Band 2,4.0,2000.0,10.0,29.0,5.32,Low Engagement - High Sales
rocket league,Rocket League,3.4,17000.0,564.0,113.0,0.37,High Engagement - Low Sales
rule of rose,Rule of Rose,3.8,727.0,33.0,770.0,0.02,Normal
saints row 2,Saints Row 2,3.7,3600.0,56.0,191.0,4.76,Normal
saints row gat out of hell,Saints Row: Gat Out of Hell,2.4,2000.0,13.0,75.0,0.05,Normal
saints row iv,Saints Row IV,3.1,7200.0,64.0,176.0,3.76,Normal
saints row the third,Saints Row: The Third,3.4,9400.0,74.0,210.0,5.640000000000001,Normal
scribblenauts,Scribblenauts,3.2,3200.0,3.0,80.0,2.22,Normal
secret of mana,Secret of Mana,3.3,1900.0,57.0,511.0,1.83,Normal
shadow of the colossus,Shadow of the Colossus,4.279999999999999,10000.0,242.0,1700.0,1.18,Normal
shadow the hedgehog,Shadow the Hedgehog,2.4,5600.0,45.0,423.0,1.77,Normal
shenmue,Shenmue,3.8,1600.0,61.0,494.0,1.18,Normal
shin megami tensei,Shin Megami Tensei,3.3,1300.0,146.0,455.0,0.09,Normal
shin megami tensei devil summoner soul hackers,Shin Megami Tensei: Devil Summoner - Soul Hackers,3.8,1200.0,153.0,651.0,0.76,Normal
shin megami tensei devil survivor,Shin Megami Tensei: Devil Survivor,3.9,1000.0,47.0,343.0,0.27,Normal
shin megami tensei digital devil saga,Shin Megami Tensei: Digital Devil Saga,4.1,2000.0,200.0,916.0,0.13,Normal
shin megami tensei iv,Shin Megami Tensei IV,4.1,4300.0,397.0,1100.0,0.57,Normal
shin megami tensei nocturne,Shin Megami Tensei: Nocturne,4.2,4100.0,358.0,1300.0,0.38,Normal
shin megami tensei persona,Shin Megami Tensei: Persona,2.9,2500.0,161.0,797.0,0.22,Normal
shovel knight,Shovel Knight,4.0,8500.0,135.0,1200.0,0.32,Normal
silent hill,Silent Hill,4.1,6800.0,272.0,1600.0,1.6,Normal
silent hill 2,Silent Hill 2,4.5,8600.0,282.0,2100.0,1.28,Normal
silent hill 2 restless dreams,Silent Hill 2: Restless Dreams,4.5,514.0,14.0,81.0,0.28,Normal
silent hill 3,Silent Hill 3,4.2,4900.0,156.0,1400.0,0.71,Normal
silent hill homecoming,Silent Hill: Homecoming,2.1,1300.0,18.0,227.0,0.8500000000000001,Normal
sin and punishment,Sin and Punishment,4.0,1100.0,34.0,550.0,0.13,Normal
skate 3,Skate 3,4.0,4100.0,44.0,188.0,4.76,Normal
sly cooper and the thievius raccoonus,Sly Cooper and the Thievius Raccoonus,3.7,3700.0,44.0,391.0,1.21,Normal
sonic advance,Sonic Advance,3.2,4000.0,26.0,212.0,2.24,Normal
sonic adventure 2,Sonic Adventure 2,3.6,5100.0,89.0,342.0,0.12,Normal
sonic adventure 2 battle,Sonic Adventure 2: Battle,3.7,6800.0,78.0,248.0,2.56,Normal
sonic and the secret rings,Sonic and the Secret Rings,1.9,3100.0,18.0,160.0,2.77,Normal
sonic cd,Sonic CD,3.4,4900.0,43.0,223.0,1.5,Normal
sonic colors,Sonic Colors,3.4,5100.0,44.0,342.0,3.1100000000000003,Normal
sonic generations,Sonic Generations,3.8,9900.0,133.0,480.0,4.17,Normal
sonic lost world,Sonic Lost World,2.5,2500.0,34.0,214.0,0.89,Normal
sonic rush,Sonic Rush,3.6,4600.0,61.0,292.0,3.15,Normal
sonic rush adventure,Sonic Rush Adventure,3.5,1900.0,22.0,208.0,1.17,Normal
sonic the hedgehog,Sonic the Hedgehog,3.1,12000.0,60.0,243.0,7.05,Normal
sonic the hedgehog 2,Sonic the Hedgehog 2,3.25,10000.0,56.0,228.0,6.03,Normal
sonic unleashed,Sonic Unleashed,3.3,6500.0,118.0,476.0,4.95,Normal
splatoon,Splatoon,3.7,6100.0,28.0,227.0,4.57,Normal
spongebob squarepants battle for bikini bottom,SpongeBob SquarePants: Battle For Bikini Bottom,3.8,3400.0,22.0,216.0,4.42,Normal
spore,Spore,3.3,6000.0,34.0,170.0,1.17,Normal
star wars battlefront,Star Wars: Battlefront,3.5,4100.0,9.0,109.0,5.56,Normal
star wars battlefront ii,Star Wars Battlefront II,3.55,7800.0,128.0,189.0,6.67,Normal
star wars episode iii revenge of the sith,Star Wars: Episode III - Revenge of the Sith,3.1,2100.0,11.0,94.0,5.59,Normal
star wars knights of the old republic,Star Wars: Knights of the Old Republic,4.2,5300.0,180.0,705.0,2.33,Normal
star wars the force unleashed,Star Wars: The Force Unleashed,3.2,7400.0,50.0,350.0,10.23,Normal
star wars the force unleashed ii,Star Wars: The Force Unleashed II,2.8,4100.0,18.0,268.0,4.08,Normal
street fighter ii turbo,Street Fighter II Turbo,3.7,1600.0,5.0,50.0,4.1,Normal
street fighter v,Street Fighter V,3.0,5000.0,109.0,166.0,0.87,Normal
suikoden,Suikoden,3.6,933.0,32.0,360.0,0.6,Normal
suikoden ii,Suikoden II,4.4,1100.0,42.0,653.0,0.68,Normal
sunset overdrive,Sunset Overdrive,3.5,3600.0,92.0,459.0,1.11,Normal
super castlevania iv,Super Castlevania IV,3.7,3700.0,45.0,271.0,0.63,Normal
super mario 3d land,Super Mario 3D Land,3.5,12000.0,146.0,461.0,10.79,Normal
super mario 3d world,Super Mario 3D World,3.9,9600.0,93.0,432.0,4.25,Normal
super mario 64,Super Mario 64,4.1,21000.0,463.0,775.0,22.310000000000002,Normal
super mario bros,Super Mario Bros.,3.5,18000.0,59.0,237.0,45.31,Normal
super mario bros 2,Super Mario Bros. 2,3.1,8400.0,40.0,189.0,7.46,Normal
super mario bros 3,Super Mario Bros. 3,4.0,14000.0,109.0,362.0,22.48,Normal
super mario galaxy,Super Mario Galaxy,4.3,21000.0,468.0,1200.0,11.52,Normal
super mario galaxy 2,Super Mario Galaxy 2,4.3,13000.0,123.0,1300.0,7.69,Normal
super mario rpg legend of the seven stars,Super Mario RPG: Legend of the Seven Stars,4.0,4400.0,133.0,858.0,2.14,Normal
super mario sunshine,Super Mario Sunshine,3.7,14000.0,403.0,1000.0,6.31,Normal
super mario world,Super Mario World,4.2,18000.0,218.0,460.0,26.07,Normal
super metroid,Super Metroid,4.3,11000.0,309.0,907.0,1.42,Normal
super paper mario,Super Paper Mario,3.8,6200.0,76.0,572.0,3.76,Normal
super smash bros,Super Smash Bros.,3.4,9800.0,20.0,207.0,5.55,Normal
super smash bros brawl,Super Smash Bros. Brawl,3.8,19000.0,51.0,250.0,13.04,Normal
superman the new superman adventures,Superman: The New Superman Adventures,0.7,859.0,2.0,55.0,0.41,Normal
tales of berseria,Tales of Berseria,3.7,3300.0,293.0,657.0,0.33,Normal
tales of symphonia,Tales of Symphonia,3.9,2800.0,132.0,572.0,1.6400000000000001,Normal
tales of vesperia,Tales of Vesperia,3.9,1100.0,57.0,199.0,1.2,Normal
tales of zestiria,Tales of Zestiria,2.7,1700.0,76.0,264.0,0.97,Normal
tekken 3,Tekken 3,3.9,4200.0,13.0,183.0,7.16,Normal
tekken 4,Tekken 4,3.4,1900.0,9.0,109.0,3.44,Normal
tekken 6,Tekken 6,3.4,2300.0,15.0,96.0,4.41,Normal
tekken tag tournament 2,Tekken Tag Tournament 2,3.8,1700.0,7.0,95.0,1.42,Normal
terraria,Terraria,4.0,18000.0,673.0,593.0,1.68,Normal
tetris,Tetris,4.066666666666666,9600.0,54.0,66.0,35.84,Normal
the elder scrolls iii morrowind,The Elder Scrolls III: Morrowind,4.0,3700.0,150.0,487.0,2.86,Normal
the elder scrolls iv oblivion,The Elder Scrolls IV: Oblivion,3.7,8100.0,183.0,563.0,7.77,Normal
the elder scrolls v skyrim,The Elder Scrolls V: Skyrim,3.7000000000000006,22000.0,589.0,1000.0,19.28,Normal
the evil within,The Evil Within,3.4,4800.0,140.0,822.0,4.15,Normal
the godfather,The Godfather,3.6,1100.0,2.0,136.0,1.09,Normal
the last of us,The Last of Us,4.2,17000.0,205.0,1400.0,10.54,Normal
the legend of heroes trails of cold steel,The Legend of Heroes: Trails of Cold Steel,3.7,2100.0,129.0,461.0,0.53,Normal
the legend of heroes trails of cold steel ii,The Legend of Heroes: Trails of Cold Steel II,3.7,1700.0,45.0,319.0,0.27,Normal
the legend of zelda,The Legend of Zelda,3.2,9300.0,132.0,463.0,6.51,Normal
the legend of zelda a link between worlds,The Legend of Zelda: A Link Between Worlds,4.1,10000.0,168.0,1100.0,3.07,Normal
the legend of zelda a link to the past,The Legend of Zelda: A Link to the Past,4.1,13000.0,360.0,911.0,7.3100000000000005,Normal
the legend of zelda ocarina of time,The Legend of Zelda: Ocarina of Time,4.3,17000.0,433.0,1400.0,11.809999999999999,Normal
the legend of zelda oracle of ages,The Legend of Zelda: Oracle of Ages,3.7,2800.0,60.0,492.0,1.92,Normal
the legend of zelda oracle of seasons,The Legend of Zelda: Oracle of Seasons,3.7,3100.0,65.0,489.0,1.86,Normal
the legend of zelda the minish cap,The Legend of Zelda: The Minish Cap,3.9,8700.0,280.0,911.0,1.42,Normal
the legend of zelda twilight princess,The Legend of Zelda: Twilight Princess,4.066666666666666,10000.0,228.0,1300.0,8.9,Normal
the legend of zelda twilight princess hd,The Legend of Zelda: Twilight Princess HD,4.2,2500.0,91.0,503.0,0.94,Normal
the lego movie videogame,The LEGO Movie Videogame,2.8,1700.0,11.0,73.0,5.33,Low Engagement - High Sales
the lord of the rings the two towers,The Lord of the Rings: The Two Towers,3.3,1600.0,8.0,72.0,6.65,Low Engagement - High Sales
the simpsons game,The Simpsons Game,3.0,3800.0,20.0,156.0,7.12,Normal
the simpsons road rage,The Simpsons: Road Rage,2.9,1700.0,6.0,61.0,6.09,Low Engagement - High Sales
the sims 4,The Sims 4,3.0,8300.0,434.0,110.0,2.97,Normal
the walking dead season one,The Walking Dead: Season One,4.0,12000.0,111.0,467.0,2.36,Normal
the walking dead season two,The Walking Dead: Season Two,3.5,6700.0,35.0,262.0,0.87,Normal
the warriors,The Warriors,3.9,927.0,10.0,191.0,1.09,Normal
the witcher,The Witcher,3.0,1600.0,57.0,168.0,0.06,Normal
the witcher 2 assassins of kings,The Witcher 2: Assassins of Kings,3.6,1600.0,21.0,169.0,1.9,Normal
the witcher 3 wild hunt,The Witcher 3: Wild Hunt,4.3,17000.0,1200.0,1600.0,5.64,Normal
the wolf among us,The Wolf Among Us,3.9,8100.0,81.0,678.0,0.49,Normal
the world ends with you,The World Ends with You,4.2,5200.0,256.0,1500.0,0.86,Normal
tomb raider,Tomb Raider,3.45,15000.0,175.0,508.0,5.66,Normal
tomodachi life,Tomodachi Life,3.7,3400.0,59.0,133.0,5.15,Normal
toy story 2 buzz lightyear to the rescue,Toy Story 2: Buzz Lightyear to the Rescue!,3.4,2300.0,26.0,117.0,2.64,Normal
twisted metal,Twisted Metal,3.1,986.0,1.0,81.0,1.56,Normal
uncharted 2 among thieves,Uncharted 2: Among Thieves,3.9,12000.0,96.0,515.0,6.73,Normal
uncharted the nathan drake collection,Uncharted: The Nathan Drake Collection,4.1,4300.0,137.0,319.0,4.47,Normal
until dawn,Until Dawn,3.4,8000.0,85.0,585.0,1.64,Normal
vagrant story,Vagrant Story,4.0,1000.0,59.0,889.0,0.87,Normal
warcraft iii the frozen throne,Warcraft III: The Frozen Throne,4.3,2600.0,14.0,73.0,1.54,Normal
wario land 3,Wario Land 3,3.8,1200.0,67.0,174.0,2.2,Normal
warioware smooth moves,WarioWare: Smooth Moves,3.9,3100.0,7.0,189.0,2.92,Normal
we love katamari,We Love Katamari,4.3,1400.0,38.0,410.0,0.52,Normal
wii sports,Wii Sports,3.7000000000000006,18000.0,39.0,93.0,82.74,Normal
wolfenstein the new order,Wolfenstein: The New Order,3.6,8400.0,149.0,722.0,3.63,Normal
world of warcraft,World of Warcraft,3.5,4500.0,115.0,74.0,6.28,Normal
worms armageddon,Worms Armageddon,3.8,2100.0,15.0,57.0,1.1,Normal
wwe smackdown vs raw 2008,WWE SmackDown vs. Raw 2008,3.1,1400.0,1.0,16.0,7.41,Low Engagement - High Sales
xenoblade chronicles,Xenoblade Chronicles,4.2,3900.0,142.0,732.0,1.54,Normal
xenosaga episode i der wille zur macht,Xenosaga Episode I: Der Wille zur Macht,3.7,1200.0,103.0,575.0,1.74,Normal
xenosaga episode iii also sprach zarathustra,Xenosaga Episode III: Also sprach Zarathustra,4.3,762.0,23.0,448.0,0.37,Normal
yakuza 2,Yakuza 2,4.0,1000.0,28.0,255.0,1.09,Normal
yakuza 4,Yakuza 4,3.8,1400.0,38.0,255.0,0.97,Normal
yakuza kiwami,Yakuza Kiwami,3.7000000000000006,9700.0,439.0,1000.0,0.28,High Engagement - Low Sales
ys the oath in felghana,Ys: The Oath in Felghana,4.0,1000.0,32.0,210.0,0.14,Normal
ys viii lacrimosa of dana,Ys VIII: Lacrimosa of Dana,4.2,1900.0,131.0,575.0,0.09,Normal
zelda ii the adventure of link,Zelda II: The Adventure of Link,2.6,4500.0,55.0,290.0,4.38,Normal
zero escape zero time dilemma,Zero Escape: Zero Time Dilemma,3.0,2900.0,64.0,402.0,0.12,Normal
