Model,MAE,RMSE,MAPE
Naive Baseline,69.03,85.59476000316842,19.24362964251425
Linear Regression,253.54897580644555,276.970883166505,78.2010598137268
Holt Exponential Smoothing,291.30533371591844,310.6795084871182,88.68763750680253
